iPhone 8	64GB	Space Gray	1	2018-06-09	法国	0
iPhone 7 Plus	128GB	Black	1	2019-07-14	英国	0
iPhone XR	64GB	Blue	4	2019-06-04	法国	0
iPhone 7 Plus	128GB	Black	3	2018-01-01	法国	0
iPhone 8	64GB	Gold	4	2017-10-10	法国	0
iPhone XR	64GB	Black	2	2019-03-02	德国	0
iPhone XS	256GB	Gray	2	2019-03-27	it	0
iPhone 7 Plus	32GB	Black	1	2018-09-10	美国	0
iPhone 7	32GB	Rose Gold	3	2017-11-25	法国	0
iPhone XS	64GB	Gold	3	2019-01-18	德国	0
iPhone 8 Plus	64GB	Space Grey	1	2019-01-23	英国	0
iPhone XS	64GB	Space Gray	1	2019-05-31	美国	0
iPhone 7	128GB	Rose Gold	1	2017-04-06	德国	0
iPhone 8	64GB	Space Gray	4	2019-06-20	德国	0
iPhone 7 Plus	256GB	Black	1	2018-05-21	德国	0
iPhone 7	32GB	Matt Black	3	2018-06-18	it	0
iPhone 7	32GB	Matt Black	5	2019-05-30	it	0
iPhone 7	128GB	Black	1	2017-11-24	德国	0
iPhone XS	64GB	Argent	1	2019-01-24	法国	0
iPhone 7	128GB	Matt Black	1	2018-07-14	it	0
iPhone 7 Plus	128GB	Black	2	2017-07-26	法国	0
iPhone 8	64GB	Gold	1	2018-07-08	英国	0
iPhone XS	64GB	Space Gray	2	2019-05-28	德国	0
iPhone 7 Plus	32GB	Rose Gold	1	2017-11-18	英国	0
iPhone XS	64GB	Gold	1	2018-12-06	法国	0
iPhone XS	64GB	Space Gray	1	2019-01-31	德国	0
iPhone 8	64GB	Gray	1	2018-07-05	it	0
iPhone X	64GB	Space Gray	1	2018-08-17	德国	0
iPhone 7 Plus	32GB	Silver	4	2019-04-23	美国	0
iPhone 7 Plus	32GB	Black	1	2018-12-27	美国	0
iPhone 7	256GB	Rose Gold	1	2018-10-24	英国	0
iPhone 8 Plus	256GB	Space Gray	2	2017-09-28	法国	0
iPhone 8	64GB	Gray	1	2019-03-29	it	0
iPhone 7	32GB	Matt Black	5	2019-06-09	it	0
iPhone 7	128GB	Gold	4	2017-08-21	法国	0
iPhone 6S	16GB	Gold	1	2018-12-05	德国	0
iPhone 7 Plus	128GB	Black	2	2017-09-07	德国	0
iPhone 7 Plus	32GB	Black	1	2019-01-13	英国	0
iPhone 7 Plus	128GB	Jet Black	5	2017-08-22	英国	0
iPhone 7	32GB	Gold	3	2017-05-22	法国	0
iPhone 6S	32GB	Gold	1	2019-06-01	英国	0
iPhone 7	32GB	Rose Gold	5	2017-04-11	法国	0
iPhone XS Max	64GB	Argent 	1	2019-05-21	德国	0
iPhone 8	256GB	Gray	1	2019-03-15	it	0
iPhone 8 Plus	64GB	Gold	2	2017-11-12	德国	0
iPhone XS Max	64GB	Silver	1	2019-06-02	美国	0
iPhone X	256GB	Space Gray	3	2018-10-25	德国	0
iPhone 7	32GB	Black	1	2018-12-26	美国	0
iPhone 7	32GB	Rose Gold	2	2018-09-08	it	0
iPhone 7	32GB	Matte Black	4	2018-01-26	英国	0
iPhone 8 Plus	64GB	Space Gray	4	2017-10-25	德国	0
iPhone 7 Plus	32GB	Black	4	2019-02-16	美国	0
iPhone 7 Plus	32GB	Matt Black	1	2019-03-13	it	0
iPhone X	256GB	Space Gray	1	2019-04-09	德国	0
iPhone 7	32GB	Black	3	2018-12-18	法国	0
iPhone 6S	32GB	Rose Gold	1	2019-05-20	德国	0
iPhone XR	64GB	Red	1	2018-12-10	美国	0
iPhone X	64GB	Argent	1	2019-04-30	法国	0
iPhone 8	64GB	Gray	1	2019-07-12	it	0
iPhone X	256GB	Space Gray	1	2017-12-04	德国	0
iPhone 6S	128GB	Rose Gold	1	2017-02-04	英国	0
iPhone 7	128GB	Gold	3	2017-07-25	法国	0
iPhone 7	32GB	Black	3	2018-05-07	法国	0
iPhone 6S	64GB	Rose Gold	2	2016-09-23	德国	0
iPhone X	64GB	Space Gray	1	2019-01-15	德国	0
iPhone 7	128GB	Black	2	2016-09-21	德国	0
iPhone 8	64GB	Argent 	4	2018-10-24	德国	0
iPhone 7 Plus	256GB	Rose Gold	1	2017-07-11	英国	0
iPhone 6S	128GB	Space Grey	5	2019-04-02	英国	0
iPhone 6S	32GB	Rose Gold	3	2018-01-31	法国	0
iPhone 6S	16GB	Space Gray	1	2018-05-29	德国	0
iPhone 7 Plus	128GB	Black	1	2016-11-23	德国	0
iPhone XS	256GB	Gray	3	2018-12-22	法国	0
iPhone 7	32GB	Matte Black	3	2016-10-31	英国	0
iPhone 7 Plus	32GB	Black	2	2019-05-04	美国	0
iPhone 8	64GB	Space Grey	1	2018-06-25	英国	0
iPhone 6S	16GB	Space Gray	1	2017-04-11	德国	0
iPhone 6S	32GB	Space Gray	1	2018-10-01	德国	0
iPhone 7 Plus	128GB	Black	3	2017-07-03	德国	0
iPhone 7	128GB	Matt Black	1	2017-08-03	it	0
iPhone XR	128GB	Black	1	2019-04-01	it	0
iPhone 7	32GB	Black	1	2017-02-03	德国	0
iPhone 7	32GB	Black	2	2017-02-26	德国	0
iPhone XR	64GB	Black	1	2018-12-14	法国	0
iPhone 7	128GB	Gold	1	2018-05-19	法国	0
iPhone X	256GB	Space Gray	1	2017-11-03	德国	0
iPhone 6S	16GB	Space Gray	2	2016-04-06	德国	0
iPhone 7 Plus	128GB	Black	3	2019-04-17	法国	0
iPhone X	64GB	Space Gray	1	2019-05-22	德国	0
iPhone XS Max	64GB	Space Gray	1	2019-05-25	美国	0
iPhone X	64GB	Argent	5	2019-01-22	法国	0
iPhone 8	64GB	Space Gray	1	2019-06-05	德国	0
iPhone 7	128GB	Black	1	2017-12-06	德国	0
iPhone 7	32GB	Black	2	2017-09-05	德国	0
iPhone X	64GB	Space Gray	2	2018-02-11	法国	0
iPhone XR	128GB	Red	4	2018-11-29	德国	0
iPhone XS	256GB	Gold	1	2018-12-05	德国	0
iPhone XR	64GB	Black	2	2019-04-09	德国	0
iPhone 7	128GB	Black	1	2017-11-26	德国	0
iPhone X	64GB	Argent 	1	2018-02-24	德国	0
iPhone 7	128GB	Black	2	2018-09-01	法国	0
iPhone 7	128GB	Matt Black	1	2019-04-29	it	0
iPhone 7	32GB	Black	1	2018-06-25	德国	0
iPhone 7	32GB	Black	1	2018-10-15	法国	0
iPhone 7	32GB	Argent 	1	2017-07-10	it	0
iPhone 7	32GB	Black	1	2017-06-04	德国	0
iPhone 6S	16GB	Rose Gold	1	2019-05-22	德国	0
iPhone 6S	16GB	Space Gray	1	2016-02-18	德国	0
iPhone X	64GB	Gray	1	2018-12-29	it	0
iPhone 7	32GB	Argent 	1	2016-09-19	德国	0
iPhone X	64GB	Argent 	5	2018-09-17	德国	0
iPhone X	64GB	Space Gray	1	2018-02-12	德国	0
iPhone 7	32GB	Black	1	2018-10-05	法国	0
iPhone 7	128GB	Black	1	2019-04-21	英国	0
iPhone 7	128GB	Black	2	2017-07-31	德国	0
iPhone 6S	16GB	Rose Gold	1	2018-11-04	德国	0
iPhone XR	256GB	Red	2	2019-01-07	德国	0
iPhone 7 Plus	32GB	Black	1	2018-12-18	美国	0
iPhone 8 Plus	64GB	Space Gray	1	2018-09-19	德国	0
iPhone X	256GB	Silver	1	2018-12-30	英国	0
iPhone 7	32GB	Black	2	2017-01-30	德国	0
iPhone 8 Plus	64GB	Space Gray	4	2017-09-27	德国	0
iPhone XS	256GB	Argent	4	2018-11-29	法国	0
iPhone 8	64GB	Space Gray	2	2018-07-16	法国	0
iPhone XS	256GB	Gold	1	2018-12-27	德国	0
iPhone 6S	64GB	Argent 	1	2019-04-17	德国	0
iPhone 8 Plus	64GB	Space Gray	5	2018-05-13	德国	0
iPhone 7 Plus	256GB	Jet Black	1	2018-03-22	英国	0
iPhone XS	64GB	Gold	1	2019-04-19	法国	0
iPhone 6S	64GB	Gold	4	2016-03-06	德国	0
iPhone 7	32GB	Matt Black	1	2017-05-15	it	0
iPhone 7	128GB	Black	1	2016-09-25	德国	0
iPhone XR	64GB	Black	5	2019-05-16	it	0
iPhone 8 Plus	256GB	Space Grey	5	2018-04-24	英国	0
iPhone XR	64GB	Black	4	2019-01-22	英国	0
iPhone 8	256GB	Gold	5	2019-01-15	德国	0
iPhone XS Max	64GB	Argent 	1	2018-12-03	德国	0
iPhone XS	256GB	Gold	5	2019-06-03	法国	0
iPhone XS	64GB	Silver	2	2018-11-04	美国	0
iPhone 7 Plus	32GB	Black	1	2018-12-29	美国	0
iPhone 8	64GB	Gold	4	2019-01-21	德国	0
iPhone 8 Plus	64GB	Space Gray	1	2018-03-20	法国	0
iPhone XS Max	64GB	Silver	1	2019-03-19	美国	0
iPhone 7	32GB	Black	5	2018-12-31	美国	0
iPhone 8	64GB	Argent 	1	2018-12-29	法国	0
iPhone 6S	32GB	Space Gray	1	2018-06-20	德国	0
iPhone 7	128GB	Jet Black	1	2018-12-08	英国	0
iPhone 6S	64GB	Rose Gold	2	2016-07-14	德国	0
iPhone 7	128GB	Rose Gold	1	2019-05-05	德国	0
iPhone X	256GB	Space Gray	1	2017-11-16	德国	0
iPhone 7	128GB	Black	5	2016-09-26	德国	0
iPhone XR	128GB	White	3	2019-01-17	it	0
iPhone X	64GB	Space Gray	1	2019-02-09	法国	0
iPhone XS Max	64GB	Gold	1	2019-07-03	德国	0
iPhone 7	32GB	Black	2	2017-03-05	德国	0
iPhone XR	64GB	Black	5	2019-03-28	it	0
iPhone 7	32GB	Black	1	2017-08-16	法国	0
iPhone 7	32GB	Matte Black	4	2018-10-24	英国	0
iPhone 7	128GB	Gold	5	2017-10-22	德国	0
iPhone 7	32GB	Matt Black	2	2017-09-13	it	0
iPhone 7	32GB	Rose Gold	4	2017-06-29	法国	0
iPhone 7	32GB	Black	3	2019-05-31	德国	0
iPhone XS	256GB	Gold	1	2019-06-24	法国	0
iPhone 7	128GB	Jet Black	1	2017-09-22	英国	0
iPhone 7	128GB	Matt Black	1	2016-10-26	it	0
iPhone 6S	32GB	Argent	1	2015-10-03	德国	0
iPhone 7	128GB	Gold	3	2019-07-15	it	0
iPhone 7	128GB	Black	3	2019-03-06	德国	0
iPhone XS Max	64GB	Silver	1	2019-03-01	美国	0
iPhone 8	64GB	Space Gray	3	2018-08-13	法国	0
iPhone 7	128GB	Black	1	2017-02-02	德国	0
iPhone 7	32GB	Black	3	2018-10-11	法国	0
iPhone X	64GB	Space Gray	2	2018-11-26	德国	0
iPhone 8 Plus	64GB	Gold	5	2018-12-28	法国	0
iPhone 7	128GB	Black	3	2016-12-27	法国	0
iPhone 7	128GB	Black	1	2016-10-10	德国	0
iPhone 7	32GB	Rose Gold	1	2019-04-30	英国	0
iPhone 8	64GB	Gold	1	2019-03-03	德国	0
iPhone 8	64GB	Gray	2	2019-06-18	it	0
iPhone X	64GB	Space Gray	3	2018-03-24	法国	0
iPhone XR	64GB	Black	1	2019-05-13	德国	0
iPhone XS	256GB	Silver	3	2018-12-12	英国	0
iPhone 7	128GB	Black	1	2017-04-28	德国	0
iPhone 6S	32GB	Space Grey	5	2018-12-14	英国	0
iPhone X	64GB	Space Gray	1	2018-11-23	德国	0
iPhone XR	128GB	Black	1	2019-07-04	德国	0
iPhone X	64GB	Space Gray	1	2018-08-22	法国	0
iPhone 7	32GB	Gold	1	2017-03-29	英国	0
iPhone 8	64GB	Gold	4	2018-08-02	英国	0
iPhone 7 Plus	32GB	Black	1	2018-12-17	美国	0
iPhone 6S	16GB	Rose Gold	1	2016-06-11	德国	0
iPhone XS Max	256GB	Argent	4	2019-06-28	法国	0
iPhone X	256GB	Silver	5	2018-09-19	英国	0
iPhone 6S	32GB	Silver	1	2018-11-24	美国	0
iPhone 7	32GB	Black	2	2016-12-27	德国	0
iPhone XS Max	64GB	Space Gray	1	2019-06-26	美国	0
iPhone 7	32GB	Black	1	2017-11-08	德国	0
iPhone XS Max	256GB	Space Gray	5	2019-04-27	德国	0
iPhone 8	64GB	Space Gray	1	2018-09-29	法国	0
iPhone XS	64GB	Gold	2	2019-04-05	法国	0
iPhone 6S	64GB	Space Gray	2	2018-06-07	德国	0
iPhone X	64GB	Space Gray	2	2018-08-19	德国	0
iPhone 6S Plus	128GB	Rose Gold	1	2016-09-30	英国	0
iPhone X	64GB	Space Gray	1	2019-04-09	法国	0
iPhone X	256GB	Space Grey	5	2018-12-06	英国	0
iPhone XS Max	64GB	Gold	1	2019-06-13	美国	0
iPhone X	64GB	Argent	4	2019-04-26	法国	0
iPhone 6S	64GB	Rose Gold	1	2016-10-24	德国	0
iPhone 7 Plus	32GB	Black	1	2016-11-11	美国	0
iPhone X	64GB	Silver	1	2019-04-14	英国	0
iPhone XR	128GB	White	1	2018-12-12	德国	0
iPhone 7	128GB	Argent 	1	2018-07-23	德国	0
iPhone XS Max	512GB	Space Gray	1	2018-12-22	德国	0
iPhone X	64GB	Argent	1	2018-11-09	法国	0
iPhone 7 Plus	32GB	Black	1	2018-12-18	美国	0
iPhone XR	64GB	Red	5	2019-04-01	法国	0
iPhone 8	64GB	Gold	3	2019-02-15	德国	0
iPhone X	64GB	Space Gray	2	2018-07-05	法国	0
iPhone 7	128GB	Argent 	1	2019-01-25	it	0
iPhone 6S	16GB	Space Gray	1	2016-10-16	德国	0
iPhone 8	64GB	Space Gray	3	2018-01-13	德国	0
iPhone 7	32GB	Black	1	2018-01-06	法国	0
iPhone 7	32GB	Rose Gold	1	2017-12-14	英国	0
iPhone XS Max	64GB	Gold	5	2019-01-11	法国	0
